YEAR_FILTER,AGE_FILTER,INTAKE_FILTER,DOG_STAYS,MEDIAN_WAIT_DAYS,AVERAGE_WAIT_DAYS
2018,Puppy,Stray,3931,5.2,18.1
2018,Senior,All intake types,881,3.1,27.2
2018,Senior,Other,106,8.0,15.1
2018,Senior,Owner surrender,203,7.0,59.4
2018,Senior,Stray,572,1.3,18.0
2018,Unknown,All intake types,2,4.6,4.6
2018,Unknown,Other,2,4.6,4.6
2018,Young,All intake types,2460,6.1,24.7
2018,Young,Other,269,8.9,20.1
2018,Young,Owner surrender,503,10.0,37.3
2018,Young,Stray,1688,5.1,21.6
2019,Adult,All intake types,1452,6.0,23.6
2019,Adult,Other,224,7.1,11.0
2019,Adult,Owner surrender,396,10.4,41.9
2019,Adult,Stray,832,4.1,18.2
2019,All dogs,All intake types,10889,5.3,18.1
2019,All dogs,Other,814,7.8,15.8
2019,All dogs,Owner surrender,2532,6.1,28.0
2019,All dogs,Stray,7543,5.1,15.0
2019,Puppy,All intake types,5676,5.2,13.6
2019,Puppy,Other,230,8.2,17.7
2019,Puppy,Owner surrender,1291,4.1,16.7
2019,Puppy,Stray,4155,5.2,12.5
2019,Senior,All intake types,879,3.8,30.4
2019,Senior,Other,84,7.2,22.2
2019,Senior,Owner surrender,253,6.9,55.2
2019,Senior,Stray,542,1.9,20.1
2019,Unknown,All intake types,2,0.6,0.6
2019,Unknown,Owner surrender,1,0.1,0.1
2019,Unknown,Stray,1,1.1,1.1
2019,Young,All intake types,2880,6.2,20.3
2019,Young,Other,276,7.2,16.2
2019,Young,Owner surrender,591,9.1,31.9
2019,Young,Stray,2013,5.9,17.4
2020,Adult,All intake types,679,8.2,42.6
2020,Adult,Other,103,9.0,26.3
2020,Adult,Owner surrender,226,17.6,72.0
2020,Adult,Stray,350,5.2,28.5
2020,All dogs,All intake types,5407,6.1,27.4
2020,All dogs,Other,620,7.8,18.8
2020,All dogs,Owner surrender,1438,10.0,47.2
2020,All dogs,Stray,3349,5.3,20.6
2020,Puppy,All intake types,2619,5.8,18.9
2020,Puppy,Other,250,7.3,13.1
2020,Puppy,Owner surrender,679,6.2,30.5
2020,Puppy,Stray,1690,5.3,15.1
2020,Senior,All intake types,456,3.9,31.3
2020,Senior,Other,66,3.9,7.2
2020,Senior,Owner surrender,146,14.6,65.0
2020,Senior,Stray,244,1.9,17.7
2020,Young,All intake types,1653,7.2,33.6
2020,Young,Other,201,8.0,25.8
2020,Young,Owner surrender,387,13.2,55.2
2020,Young,Stray,1065,6.2,27.3
2021,Adult,All intake types,695,7.3,39.7
2021,Adult,Other,86,7.1,34.1
2021,Adult,Owner surrender,273,14.1,52.3
2021,Adult,Stray,336,5.9,30.9
2021,All dogs,All intake types,6215,7.1,23.7
2021,All dogs,Other,629,7.1,22.1
2021,All dogs,Owner surrender,1916,8.2,32.1
2021,All dogs,Stray,3670,7.0,19.6
2021,Puppy,All intake types,3229,7.0,16.3
2021,Puppy,Other,273,7.4,15.7
2021,Puppy,Owner surrender,1015,6.0,18.7
2021,Puppy,Stray,1941,7.1,15.2
2021,Senior,All intake types,472,4.0,29.0
2021,Senior,Other,62,5.0,16.2
2021,Senior,Owner surrender,157,8.2,47.9
2021,Senior,Stray,253,3.2,20.4
2021,Young,All intake types,1819,9.1,29.4
2021,Young,Other,208,7.5,27.2
2021,Young,Owner surrender,471,13.0,44.2
2021,Young,Stray,1140,8.1,23.6
2022,Adult,All intake types,698,8.2,48.9
2022,Adult,Other,118,7.6,21.8
2022,Adult,Owner surrender,214,15.2,62.0
2022,Adult,Stray,366,6.8,50.1
2022,All dogs,All intake types,6480,8.2,30.1
2022,All dogs,Other,771,9.3,26.5
2022,All dogs,Owner surrender,1614,7.1,33.4
2022,All dogs,Stray,4095,8.3,29.5
2022,Puppy,All intake types,3757,7.9,21.8
2022,Puppy,Other,332,11.1,26.4
2022,Puppy,Owner surrender,988,5.2,20.4
2022,Puppy,Stray,2437,8.2,21.7
2022,Senior,All intake types,351,4.1,25.6
2022,Senior,Other,79,6.3,18.3
2022,Senior,Owner surrender,77,7.3,40.8
2022,Senior,Stray,195,3.3,22.6
2022,Young,All intake types,1674,12.0,42.0
2022,Young,Other,242,9.9,31.5
2022,Young,Owner surrender,335,14.9,51.8
2022,Young,Stray,1097,11.9,41.3
2023,Adult,All intake types,544,13.6,46.6
2023,Adult,Other,108,9.0,27.3
2023,Adult,Owner surrender,157,31.0,72.9
2023,Adult,Stray,279,9.3,39.3
2023,All dogs,All intake types,5064,13.9,36.0
2023,All dogs,Other,754,10.4,33.7
2023,All dogs,Owner surrender,1214,18.1,43.1
2023,All dogs,Stray,3096,13.2,33.7
2023,Puppy,All intake types,2895,14.0,28.3
2023,Puppy,Other,327,11.3,29.5
2023,Puppy,Owner surrender,676,15.0,30.2
2023,Puppy,Stray,1892,14.1,27.4
2023,Senior,All intake types,316,4.2,26.6
2023,Senior,Other,79,4.3,25.7
2023,Senior,Owner surrender,73,8.1,35.3
2023,Senior,Stray,164,3.9,23.1
2023,Young,All intake types,1309,19.1,50.8
2023,Young,Other,240,12.8,45.0
2023,Young,Owner surrender,308,29.0,58.0
2023,Young,Stray,761,17.2,49.7
2024,Adult,All intake types,609,12.8,39.3
2024,Adult,Other,140,8.6,25.2
2024,Adult,Owner surrender,162,20.7,53.8
2024,Adult,Stray,307,12.0,38.2
2024,All dogs,All intake types,5063,10.8,30.1
2024,All dogs,Other,831,10.6,25.5
2024,All dogs,Owner surrender,1147,11.2,33.2
2024,All dogs,Stray,3085,10.7,30.3
2024,Puppy,All intake types,2858,10.2,25.0
2024,Puppy,Other,348,13.2,26.8
2024,Puppy,Owner surrender,626,8.2,23.1
2024,Puppy,Stray,1884,10.2,25.3
2024,Senior,All intake types,352,5.2,27.5
2024,Senior,Other,74,4.8,13.2
2024,Senior,Owner surrender,87,14.2,45.2
2024,Senior,Stray,191,5.0,24.9
2024,Young,All intake types,1244,13.9,38.2
2024,Young,Other,269,10.7,27.4
2024,Young,Owner surrender,272,19.2,40.2
2024,Young,Stray,703,14.1,41.5
